StockName,precision_0,precision_1,precision_accuracy,precision_macro avg,precision_weighted avg,recall_0,recall_1,recall_accuracy,recall_macro avg,recall_weighted avg,f1-score_0,f1-score_1,f1-score_accuracy,f1-score_macro avg,f1-score_weighted avg,support_0,support_1,support_accuracy,support_macro avg,support_weighted avg,MAE,MSE,RMSE
1210,0.85,0.83,0.84,0.84,0.84,0.81,0.87,0.84,0.84,0.84,0.83,0.85,0.84,0.84,0.84,126,139,265,265,265,0.7273331483085201,0.7981022170794709,0.893365668178194
1215,0.80,0.85,0.83,0.83,0.83,0.81,0.85,0.83,0.83,0.83,0.80,0.85,0.83,0.83,0.83,113,152,265,265,265,0.7458393577719638,1.1409142588851533,1.0681358803472305
1216,0.75,0.81,0.78,0.78,0.79,0.80,0.77,0.78,0.79,0.78,0.77,0.79,0.78,0.78,0.79,123,142,265,265,265,1.3466543406360558,2.6168634355505813,1.6176722274770563
1218,0.81,0.90,0.86,0.86,0.86,0.88,0.85,0.86,0.86,0.86,0.84,0.87,0.86,0.86,0.86,114,151,265,265,265,0.6841282599107275,0.508762580786942,0.7132759499569168
1227,0.88,0.76,0.83,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.86,0.79,0.83,0.82,0.83,161,104,265,265,265,0.29155947991137243,0.15325820085293762,0.39148205687226284
1229,0.86,0.90,0.88,0.88,0.88,0.81,0.92,0.88,0.87,0.88,0.83,0.91,0.88,0.87,0.88, 95,170,265,265,265,0.6182509719560729,0.679688487684749,0.8244322214013405
1231,0.70,0.90,0.82,0.80,0.83,0.83,0.81,0.82,0.82,0.82,0.76,0.85,0.82,0.80,0.82, 93,172,265,265,265,1.0012393712457623,1.6643359449982855,1.2900914483083303
1232,0.82,0.81,0.81,0.81,0.81,0.78,0.84,0.81,0.81,0.81,0.80,0.83,0.81,0.81,0.81,125,140,265,265,265,3.578986194538621,15.144844568069184,3.8916377745197694
1434,0.92,0.87,0.90,0.90,0.90,0.89,0.91,0.90,0.90,0.90,0.90,0.89,0.90,0.90,0.90,143,120,263,263,263,0.0935966053661742,0.01681080022413567,0.12965647004347938
1702,0.83,0.87,0.85,0.85,0.85,0.87,0.83,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,128,137,265,265,265,0.708693857444907,0.6748595948759875,0.8214983839764918
2330,0.79,0.85,0.82,0.82,0.82,0.84,0.81,0.82,0.82,0.82,0.81,0.83,0.82,0.82,0.82,122,143,265,265,265,9.086493449660969,180.53770113284693,13.436431860164623
2337,0.85,0.83,0.84,0.84,0.84,0.82,0.86,0.84,0.84,0.84,0.83,0.85,0.84,0.84,0.84,129,135,264,264,264,1.0642389690514766,1.661894852478617,1.2891450083208704
2344,0.84,0.92,0.88,0.88,0.88,0.88,0.89,0.88,0.88,0.88,0.86,0.90,0.88,0.88,0.88,105,160,265,265,265,1.0701721156858046,1.5733085108519567,1.2543159533594224
2345,0.89,0.86,0.88,0.87,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.88,140,125,265,265,265,14.719351760576355,254.18661897391289,15.943231133428156
2379,0.78,0.87,0.84,0.82,0.84,0.77,0.88,0.84,0.82,0.84,0.77,0.87,0.84,0.82,0.84, 96,169,265,265,265,8.193443672612027,115.09017998035364,10.728009134054354
2408,0.87,0.86,0.86,0.86,0.86,0.84,0.88,0.86,0.86,0.86,0.86,0.87,0.86,0.86,0.86,128,136,264,264,264,2.3910043947624438,7.340530382597968,2.709341318955212
2412,0.76,0.77,0.76,0.76,0.76,0.65,0.85,0.76,0.75,0.76,0.70,0.81,0.76,0.75,0.76,110,152,262,262,262,0.8592104962763893,0.9651481866986727,0.9824195573677637
2412,0.74,0.77,0.76,0.75,0.75,0.65,0.84,0.76,0.74,0.76,0.69,0.80,0.76,0.74,0.75,110,152,262,262,262,0.6350000104831374,0.5683595722685617,0.7538962609461343
2439,0.87,0.82,0.85,0.84,0.85,0.91,0.75,0.85,0.83,0.85,0.89,0.78,0.85,0.83,0.85,170, 95,265,265,265,1.2254171142578123,2.6561179185696826,1.6297600800638365
2449,0.82,0.90,0.87,0.86,0.87,0.81,0.90,0.87,0.85,0.87,0.81,0.90,0.87,0.86,0.87, 94,171,265,265,265,0.9551964030715654,1.6280665973823696,1.2759571299155663
2454,0.73,0.86,0.81,0.79,0.81,0.77,0.83,0.81,0.80,0.81,0.75,0.84,0.81,0.80,0.81, 99,166,265,265,265,11.700091253316629,236.78424967829966,15.387795478180092
2455,0.87,0.86,0.87,0.87,0.87,0.82,0.90,0.87,0.86,0.87,0.84,0.88,0.87,0.86,0.86,115,145,260,260,260,1.9169547177828274,4.998629564851938,2.235761517884217
2459,0.87,0.84,0.85,0.85,0.85,0.80,0.90,0.85,0.85,0.85,0.83,0.87,0.85,0.85,0.85,121,143,264,264,264,0.4954048023801859,0.34391715494095126,0.5864445028653191
2468,0.82,0.87,0.85,0.85,0.85,0.84,0.86,0.85,0.85,0.85,0.83,0.86,0.85,0.85,0.85,116,149,265,265,265,0.07638674293374113,0.013942422356302591,0.11807803502896969
2498,0.89,0.86,0.87,0.87,0.87,0.83,0.91,0.87,0.87,0.87,0.86,0.88,0.87,0.87,0.87,125,140,265,265,265,1.2792552124599241,7.318356206036525,2.7052460527716375
2603,0.79,0.88,0.85,0.83,0.84,0.78,0.88,0.85,0.83,0.85,0.78,0.88,0.85,0.83,0.85, 95,170,265,265,265,4.135283877678637,26.399958380115116,5.1380889813349
2607,0.86,0.90,0.88,0.88,0.88,0.87,0.89,0.88,0.88,0.88,0.87,0.90,0.88,0.88,0.88,116,149,265,265,265,0.8398632259728772,1.3491697293520086,1.1615376573112077
2609,0.82,0.91,0.88,0.87,0.88,0.82,0.91,0.88,0.87,0.88,0.82,0.91,0.88,0.87,0.88, 91,173,264,264,264,5.453785853963909,51.36019607615896,7.166602826734502
2610,0.87,0.89,0.88,0.88,0.88,0.85,0.91,0.88,0.88,0.88,0.86,0.90,0.88,0.88,0.88,113,152,265,265,265,0.3942271060871627,0.23757212756295282,0.4874137129410218
2615,0.83,0.89,0.87,0.86,0.87,0.84,0.89,0.87,0.86,0.87,0.84,0.89,0.87,0.86,0.87,108,157,265,265,265,12.84267240934552,216.18311000677932,14.703166665952587
2618,0.79,0.87,0.83,0.83,0.84,0.82,0.84,0.83,0.83,0.83,0.81,0.86,0.83,0.83,0.83,111,154,265,265,265,0.6132246791911576,0.5503642513721794,0.7418653862879568
2633,0.77,0.75,0.76,0.76,0.76,0.81,0.70,0.76,0.76,0.76,0.79,0.72,0.76,0.76,0.76, 54, 43, 97, 97, 97,0.11169292331970826,0.01711426397980961,0.13082149662731124
2634,0.85,0.87,0.86,0.86,0.86,0.83,0.88,0.86,0.86,0.86,0.84,0.88,0.86,0.86,0.86, 66, 84,150,150,150,0.1649879257202151,0.04014778617507649,0.20036912480488728
2637,0.79,0.90,0.86,0.84,0.86,0.84,0.87,0.86,0.85,0.86,0.81,0.88,0.86,0.85,0.86, 91,151,242,242,242,4.239323972906948,22.818997568661477,4.7769234417835795
3034,0.85,0.93,0.90,0.89,0.90,0.89,0.91,0.90,0.90,0.90,0.87,0.92,0.90,0.89,0.90, 96,169,265,265,265,13.943755067069572,243.70331200473115,15.61099971189325
3035,0.65,0.90,0.80,0.77,0.82,0.80,0.81,0.80,0.80,0.80,0.72,0.85,0.80,0.78,0.81, 83,181,264,264,264,5.6024303811969185,33.146118572712936,5.757266588643689
3045,0.77,0.76,0.76,0.76,0.76,0.71,0.81,0.76,0.76,0.76,0.74,0.78,0.76,0.76,0.76,125,137,262,262,262,0.2806446523884782,0.17555175788747335,0.41898897108095023
3596,0.83,0.88,0.86,0.86,0.86,0.85,0.86,0.86,0.86,0.86,0.84,0.87,0.86,0.86,0.86,117,148,265,265,265,1.6829123800025796,3.2980816580197465,1.8160621294492505
3682,0.85,0.86,0.86,0.86,0.86,0.91,0.78,0.86,0.85,0.86,0.88,0.82,0.86,0.85,0.86,102, 73,175,175,175,0.14409851880754754,0.02415894080622622,0.15543146658970383
4904,0.80,0.80,0.80,0.80,0.80,0.75,0.84,0.80,0.80,0.80,0.77,0.82,0.80,0.80,0.80,121,142,263,263,263,0.14750791136302885,0.03507826506160824,0.18729192471008524
